broad_category,level1_subject,level2_subject,specific_subject,volume_index,volume_title,source,paragraph_id,primary_subject,annotation_supported,original_subject,text
丧葬冥界,冥,冥,冥,1,卷一·忠志,卷一·忠志-18,V01-P018,肃宗,no,冥,肃宗将至灵武一驿，黄昏，有妇人长大，携双鲤吒于营门曰：「皇帝何在？」众谓风狂，遽白上潜视举止。妇人言已，止大树下。军人有逼视，见其臂上有鳞。俄天黑，失所在。及上即位，归京阙，虢州刺史王奇光奏女娲坟云：「天宝十三载，大雨，晦冥忽沉。今月一日夜，河上有人觉风雷声，晓见其坟涌出，上生双柳树，高丈馀，下有巨石。」兼画图进。上初克复，使祝史就其所祭之。至是而见，众疑向妇人其神也。
丧葬冥界,冥,冥,冥,4,卷二·玉格,卷二·玉格-1,V04-P001,道列三界诸天,no,冥,道列三界诸天，数与释氏同，但名别耳。三界外曰四人境，谓常融、玉隆、梵度、覆奕四天也。四人天外曰三清，大赤、禹馀、清微也。三清上曰大罗，又有九天波利等九名。天圆十二纲，运关三百六十转为一周，天运三千六百周为阳孛。地纪推机三百三十转为一度，地转三千三百度为阳蚀。天地相去四十万九千里，四方相去万万九千里。名山三百六十，福地七十二，昆仑为天地之齐。又九地、四十六土、八酒仙宫，言冥谪阴者之所。有罗酆山，在北方癸地，周回三万里，高二千六百里。洞天六宫，周一万里，高二千六百里。洞天六宫，是为六天鬼神之宫。六天，一曰纣绝阴天宫，二曰泰煞谅事宫，三曰明辰耐犯宫，四曰怙照罪气宫，五曰宗灵七非宫，六曰敢司连苑（一曰究）宫。人死皆至其中，人欲常念六天宫名。空洞之小天，三阴所治也。又耐犯宫主生，纣绝天主死。祸福续命，由怙照第四天鬼官北斗君所治，即七辰北斗之考官也。项梁城《酆都宫颂》曰：「纣绝标帝晨，谅事构重阿。炎如霄汉烟，勃如景耀华。武阳带神锋，怙照吞清河。开阖临丹井，云门郁嵯峨。七非通奇灵，连苑亦敷魔。六天横北道，此是鬼神家。」凡有二万言，此唯天宫名耳。夜中微读之，辟鬼魅。
丧葬冥界,冥,冥,冥,4,卷二·玉格,卷二·玉格-31,V04-P031,明经赵业贞元中选授巴州清,no,冥,明经赵业贞元中选授巴州清化县令，失志成疾，恶明，不饮食四十馀日。忽觉室中雷鸣，顷有赤气如鼓，轮转至床腾上，当心而住。初觉精神游散如梦中，有朱衣平帻者引之东行。出山断处，有水东西流，人甚众，久立视之。又东行，一桥饰以金碧。过桥北入一城，至曹司中，人吏甚众。见妹婿贾奕，与己争煞牛事，疑是冥司，遽逃避至一壁间，墙如黑石，高数丈，听有呵喝声。朱衣者遂领入大院，吏通曰：「司命过人。」复见贾奕，因与辩对。奕固执之，无以自明。忽有巨镜径丈，虚悬空中，仰视之，宛见贾奕鼓刀，赵负门有不忍之色，奕始伏罪。朱衣人又引至司人院，一人被褐，帔紫霞冠，状如尊像，责曰：「何故窃拨幞头？二事在滑州市，隐橡子三升。」因拜之无数。朱衣者复引出，谓曰：「能游上清乎？」乃共登一山，下临流水，其水悬注腾沫，人随流而入者千万，不觉身亦随流。良久，住大石上，有青白晕道。朱衣者变成两人，一道之，一促之，乃升石崖上立，坦然无尘。行数里，旁有草如红蓝，茎叶密，无刺，其花拂佛然飞散空中。又有草如苣，附地，亦飞花，初出如马勃，破大如叠，赤黄色。过此，见火如山横亘天，候焰绝乃前。至大城，城上重谯，街列果树，仙子为伍，迭谣鼓乐，仙姿绝世。凡历三重门，丹ぬ交焕，其地及壁，澄光可鉴。上不见天，若有绛晕都覆之。正殿三重，悉列尊像。见道士一人，如旧相识，赵求为弟子，不许。诸乐中如琴者，长四尺，九弦，近头尺馀方广，中有两道横，以变声。又如一酒，三弦，长三尺，腹面上广下狭，背丰隆。顷有过录，乃引出阙南一院，中有绛冠紫霞帔，命与二朱衣人坐厅事，乃命先过戊申录。录如人间词状，首冠人生辰，次言姓名、年纪，下注生月日，别行横布六旬甲子，所有功过日下具之，如无即书无事。赵自窥其录，姓名、生辰日月一无差错也。过录者数盈亿兆。朱衣人言，每六十年天下人一过录，以考校善恶，增损其算也。朱衣者引出北门，至向路，执手别，曰：「游此是子之魂也。可寻此行，勿返顾，当达家矣。」依其言，行稍急，蹶倒。如梦觉，死已七日矣。赵著《魂游上清记》，叙事甚详悉。
丧葬冥界,冥,冥,冥,9,卷四·祸兆,卷四·祸兆-1,V09-P001,杨慎矜兄弟富贵,no,冥,杨慎矜兄弟富贵，常不自安。每诘朝礼佛像，默祈冥卫。或一日，像前土榻上聚尘三堆，如冢状，慎矜恶之，且虑儿戏，命扫去。一夕如初，寻而祸作。
丧葬冥界,冥,冥,冥,26,卷十三·冥迹,卷十三·冥迹-3,V26-P003,南巨川常识判冥者张叔,no,冥,南巨川常识判冥者张叔言，因撰《续神异记》，具载其灵验。叔言判冥鬼十人，十人数内，两人是妇人。又乌龟狐亦判冥。
丧葬冥界,冥,冥,冥,28,卷十五·诺皋记下,卷十五·诺皋记下-19,V28-P019,太和三年,no,冥,太和三年，寿州虞侯景乙，京西防秋回。其妻久病，才相见，遽言我半身被斫去往东园矣，可速逐之。乙大惊，因趣园中。时昏黑，见一物长六尺馀，状如婴儿，裸立，挈一竹器。乙情急将击之，物遂走，遗其器。乙就视，见其妻半身。乙惊倒，或亡所见。反视妻，自发际眉间及胸有璺如指，映膜赤色，又谓乙曰：「可办乳二升，沃于园中所见物处。我前生为人后妻，节其子乳致死。因为所讼，冥断还其半身，向无君则死矣。」
丧葬冥界,坟,坟,坟,1,卷一·忠志,卷一·忠志-18,V01-P018,肃宗,no,坟,肃宗将至灵武一驿，黄昏，有妇人长大，携双鲤吒于营门曰：「皇帝何在？」众谓风狂，遽白上潜视举止。妇人言已，止大树下。军人有逼视，见其臂上有鳞。俄天黑，失所在。及上即位，归京阙，虢州刺史王奇光奏女娲坟云：「天宝十三载，大雨，晦冥忽沉。今月一日夜，河上有人觉风雷声，晓见其坟涌出，上生双柳树，高丈馀，下有巨石。」兼画图进。上初克复，使祝史就其所祭之。至是而见，众疑向妇人其神也。
丧葬冥界,坟,坟,坟,28,卷十五·诺皋记下,卷十五·诺皋记下-2,V28-P002,冯坦者,no,坟,冯坦者，常有疾，医令浸蛇酒服之。初服一瓮子，疾减半。又令家人园中执一蛇，投瓮中，封闭七日。及开，蛇跃出，举首尺馀，出门，因失所在。其过迹，地坟起数寸。陆绍郎中又言，尝记一人浸蛇酒，前后杀蛇数十头。一日，自临瓮窥酒，有物跳出啮其鼻将落，视之，乃蛇头骨。因疮毁其鼻如劓焉。
丧葬冥界,墓,墓,墓,4,卷二·玉格,卷二·玉格-26,V04-P026,贝丘西,no,墓,贝丘西有玉女山，传云晋大始中，北海蓬球，字伯坚，入山伐木，忽觉异香，遂溯风寻之。至此山，廓然宫殿盘郁，楼台博敞。球入门窥之，见五株玉树。复稍前，有四妇人，端妙绝世，自弹棋于堂上，见球俱惊起，谓球曰：「蓬君何故得来？」球曰：「寻香而至。」遂复还戏。一小者便上楼弹琴，留戏者呼之曰：「无晖，何谓独升楼？」球树下立，觉少饥，乃以舌舐叶上垂露。俄然有一女乘鹤而至，逆恚曰：「玉华，汝等何故有此俗人！」王母即令王方平行诸仙室。球惧而出门，回顾，忽然不见。至家，乃是建平中，其旧居闾舍皆为墟墓矣。
丧葬冥界,墓,墓,墓,23,卷十·物异,卷十·物异-14,V23-P014,碑龟,no,墓,碑龟，临邑县北有华公墓，碑寻失，唯趺龟存焉。石赵世，此龟夜常负碑入水，至晓方出，其上常有萍藻。有伺之者，果见龟将入水，因叫呼，龟乃走，坠折碑焉。
