specific_subject,appearance_count
有,229
中,166
鱼,97
马,78
曰,75
者,73
上,65
天,61
言,61
龙,61
僧,53
县,53
酒,49
寺,46
虫,46
波斯,40
李,39
观,39
年,38
下,34
仙,33
鸟,32
日,31
鬼,31
竹,30
药,29
蛇,29
佛,28
宫,28
术,28
殿,28
梦,27
里,27
盘,26
传,23
尸,23
精,23
虎,23
行,22
龟,22
云,21
桃,20
鼓,19
元和,18
兔,18
贞元,18
身,17
镜,17
又,16
林,15
芝,15
狐,14
节,14
剑,13
玄宗,13
钟,13
大历,12
宝,12
干,12
汤,12
篇,12
苏,12
记,12
雕,12
乌,11
凤,11
出波斯国,11
弓,11
楼,11
猪,11
道士,11
兆,10
复,10
有人,10
柳,10
桑,10
等,10
累,10
谓,10
鞭,10
魅,10
主,9
分,9
河伯,9
箭,9
虾蟆,9
部,9
释,9
昆仑,8
衣,8
鹤,8
地狱,7
塔,7
天宝,7
槐,7
狱,7
语,7
冥,6
南中,6
太和,6
妖,6
条,6
清,6
琴,6
瑞,6
苑,6
葬,6
释氏书,6
土人,5
宝历,5
室,5
开成,5
果,5
猿,5
苍,5
贝多,5
黥,5
僧一行,4
发,4
品,4
墓,4
尸解,4
建中,4
桂,4
梵,4
法师,4
注,4
琵琶,4
白马,4
石人,4
礼,4
臛,4
诏,4
迹,4
长白山,4
鹊,4
麒麟,4
东市,3
事袄神,3
侯骚,3
千人捏,3
卷,3
司马,3
同州司马裴沆,3
咸阳宫,3
坚昆部落,3
大理丞郑复,3
天铁熊,3
孔雀,3
宁公所饭牛,3
宿,3
师子,3
并序,3
志,3
念,3
扶,3
拥剑,3
数丸,3
方诸山在乙地,3
木饮州,3
李墉,3
李骞,3
材,3
杜鹃,3
构,3
梵僧,3
梵僧菩萨胜又言,3
椒,3
槟榔,3
泉,3
燕,3
狒狒,3
瓶,3
疏,3
登,3
白唐,3
百劳,3
真人,3
石榴,3
胡椒,3
至德坊,3
舍人,3
菩萨,3
蛤梨,3
蜗,3
蝇,3
螺蚌,3
蠡荠,3
诗,3
象,3
貊泽,3
赤白柽,3
金刚,3
长庆,3
雀,3
雏鹆,3
雷蜞,3
颠当,3
马伏波,3
魏韦英卒后,3
鲎,3
鸱,3
鸽,3
鹦鹉,3
麝,3
,3
䭱齐,2
东方之人鼻大,2
东王公讳倪,2
东道白,2
中使,2
二目不同,2
于襄阳ν,2
井,2
井鱼,2
交趾,2
人木,2
人死形如,2
人足,2
仙人枣,2
仙桃,2
仙药,2
伍相奴,2
伏苓,2
传云,2
偏桃,2
僧那,2
公曰,2
兽,2
则天,2
半汤湖,2
单雄信,2
博士丘濡说,2
印鱼,2
历城房家园,2
又曰,2
取木鸡、木雀、鹞网目方二,2
古锅,2
句曲山五芝,2
召奏用虎爪,2
史论作,2
号叫地狱,2
吸筒,2
命,2
善占梦,2
土槟榔,2
地藏菩萨,2
坟,2
壁影,2
壁鱼,2
夏启,2
大尾羊,2
大虫皮,2
天后,2
天尊,2
太一君讳腊,2
夫学道之人,2
婆那娑树,2
孙思邈,2
季主,2
宁王宪寝疾,2
安息香树,2
寄居,2
寒食,2
尚书,2
屏风,2
山气多男,2
帝女子泽,2
平原郡,2
度古,2
开元中,2
异字,2
异树,2
慈恩,2
慈恩寺,2
慈恩寺僧广升,2
慈竹,2
手板,2
承受石,2
折粟米法,2
拔汗那,2
拨拔力国,2
散花白,2
文,2
无启民,2
昆吾国,2
昆明池,2
明皇封禅泰山,2
晋罗什与人棋,2
晋许旌阳,2
景公寺,2
曲江,2
木主,2
木仆,2
木兰,2
木囚,2
木字,2
木简,2
木耳夷,2
李师古,2
李洪山人,2
李白,2
杨慎矜,2
松桢,2
柳芳,2
柴蒿,2
栀子,2
桃核,2
梁宴魏使,2
梁徐君房劝魏使瑾酒,2
梁简文帝,2
梨,2
武攸绪,2
毒槊,2
毒蜂,2
水经,2
水蛆,2
汉帝杏,2
没树,2
灶马,2
炎帝甲,2
炼铜时,2
燃石,2
燕公,2
燕公常读其夫子学堂碑颂,2
牛黄,2
犬吉犬屈,2
独孤叔牙,2
獠,2
玉桃,2
王勃,2
王彦威尚书在汴州,2
玳瑁,2
珊瑚,2
甑花,2
用宝剑以尸解,2
田公泉,2
甲,2
白兔鹰,2
白蜂窠,2
白豆蔻,2
白鸽,2
皂荚,2
盐,2
睿宗,2
矛,2
石墨,2
石柱,2
石漆,2
石阜石,2
石靴,2
石驼溺,2
石鼍,2
石鼓,2
碑龟,2
秦叔宝,2
秦镜,2
筋竹,2
篊,2
系臂,2
紫金非树,2
红沫,2
经冬,2
翕,2
肃宗,2
胡综,2
胡向,2
脉勇怒而面青,2
自言,2
舍人贺季,2
舍利,2
芰,2
荆州利水间,2
荜拨,2
菩提树,2
萤火芝,2
