level1_subject,level2_subject,appearance_count
兽类,马,134
人物,人物,81
鱼类,鱼,66
城楼,城,62
神物,龙,61
僧,僧,53
酒,酒,49
人物,成式,48
寺观,寺,46
昆虫,虫,44
寺观,观,39
木,竹,38
仙,仙,33
兽类,象,32
鬼,鬼,31
药,药,29
爬行,蛇,29
宫殿,宫,28
宫殿,殿,28
佛,佛,28
梦,梦,27
用具,盘,26
经法,释,25
地理,泉,25
兽类,虎,24
兽类,鹿,24
武器,刀,23
精,精,23
异国,波斯,22
爬行,龟,21
鸟类,燕,20
果,桃,20
乐器,鼓,19
帝王,玄宗,19
兽类,兔,18
果,梨,18
异国,西域,18
尸,尸,18
用具,镜,17
经法,梵,17
鸟类,雀,16
兽类,狐,14
草,芝,14
兽类,犬,14
武器,剑,13
乐器,钟,13
昆虫,蜂,13
木,松,13
鸟类,鹰,13
鸟类,雕,12
食,汤,12
果,枣,12
占卜,占,12
武器,弓,11
兽类,猪,11
城楼,楼,11
食,蜜,11
道士,道士,11
武器,鞭,10
木,柳,10
鸟类,鹅,10
木,桑,10
魅,魅,10
鸟类,凤,10
兆,兆,10
食,饼,10
武器,箭,9
两栖,虾蟆,9
兽类,驼,9
昆虫,蝉,8
鱼类,鲤,8
异国,昆仑,8
魂,魂,8
鸟类,鹤,8
食,茶,8
木,槐,7
木,檀,7
占卜,卜,7
地狱,地狱,7
寺观,塔,7
鸟类,鸽,7
异国,天竺,7
瑞,瑞,6
冥,冥,6
妖,妖,6
宫殿,苑,6
葬,葬,6
魄,魄,6
乐器,琴,6
兽类,猿,5
魔,魔,5
佛,菩萨,5
兽类,狼,5
昆虫,蚁,5
异国,大食,5
鸟类,鹘,5
食,羹,4
帝王,太宗,4
乐器,琵琶,4
食,臛,4
木,桂,4
木,柰,4
葬,墓,4
果,杏,4
异国,龟兹,4
神物,麒麟,4
昆虫,蝎,4
法器,袈裟,4
鸟类,雁,4
昆虫,蝶,4
木,椒,4
草,苔,4
昆虫,蜘蛛,4
帝王,则天,3
昆虫,蜗,3
帝王,公主,3
用具,瓶,3
帝王,肃宗,3
帝王,皇帝,3
婚姻,婚礼,3
术,尸解,3
木,楷,3
鸟类,鹳,3
帝王,高祖,2
帝王,高宗,2
帝王,睿宗,2
帝王,代宗,2
异国,交趾,2
用具,屏风,2
葬,坟,2
两栖,蟾蜍,2
僧,僧一行,2
鬼,鬼官,2
鬼,鬼魅,2
冥,酆都,2
经法,三界,2
法器,浮屠,2
尸,三尸,2
木,柏,2
术,隐形,2
异国,突厥,2
法器,舍利,2
怪,灵异,2
昆虫,蝗,2
武器,矛,2
花,牡丹,2
异国,骨利干国,1
鸟类,白鹊,1
人物,骆宾王,1
帝王,中宗,1
鸟类,鸢,1
兽类,猧,1
人物,安禄山,1
瑞,庆云,1
婚姻,青卢,1
婚姻,纳采,1
天象,月中有桂,1
经法,须弥,1
术,修道,1
尸,伏尸,1
人物,武攸绪,1
占卜,谶,1
僧,僧不空,1
人物,李彦佐,1
人物,韦行规,1
人物,李廓,1
鬼,鬼矢,1
鬼,鬼书,1
天象,北斗魁,1
佛,罗汉,1
鬼,鬼车鸟,1
鱼类,鲛,1
爬行,蜥蜴,1
果,仙人枣,1
木,菩提,1
鬼,鬼皂荚,1
