specific_subject,appearance_count
马,77
鱼,66
龙,60
酒,49
虫,45
僧,41
寺,39
李,39
观,31
鬼,31
竹,29
药,29
蛇,29
梦,27
仙,26
盘,26
佛,23
精,23
虎,23
波斯,22
术,21
龟,21
桃,20
鼓,19
兔,18
尸,18
殿,18
宫,17
镜,17
狐,14
芝,14
剑,13
钟,13
汤,12
雕,12
弓,11
猪,11
兆,10
凤,10
柳,10
桑,10
道士,10
鞭,10
魅,10
箭,9
虾蟆,9
昆仑,8
楼,8
河伯,8
荆州,8
鹤,8
地狱,7
槐,7
冥,6
塔,6
妖,6
玄宗,6
琴,6
瑞,6
葬,6
猿,5
苑,5
墓,4
桂,4
琵琶,4
臛,4
麒麟,4
槟榔,3
河阳,3
瓶,3
蜀,3
蜗,3
交趾,2
僧一行,2
凌霄,2
北斗魁,2
南中,2
历城县,2
坟,2
婚礼,2
屏风,2
成式,2
木兰,2
泉,2
甲子神,2
白唐,2
真人,2
睿宗,2
石人,2
芰,2
西王母,2
集贤,2
马仆射,2
鹘,2
龙脑,2
一行,1
三白草,1
三蔬,1
东平,1
东都,1
临川郡,1
临邑县,1
乌仗那国,1
乌耗西,1
乌蓬,1
乌贼,1
二十八宿,1
云安井,1
五木,1
井,1
井鱼,1
京宣平坊,1
京西持国寺,1
人木,1
人腊,1
人足,1
仙人枣,1
仙树,1
仙桃,1
仙药,1
伊尹干汤,1
伍相奴,1
伏苓,1
众,1
侯骚,1
偏桃,1
兔丝子,1
兜兜鸟,1
八寒地狱,1
兴唐寺,1
冬瓜,1
冷蛇,1
刘元鼎,1
刘积中,1
则天,1
北天健驮罗国,1
北朝妇人,1
北朝婚礼,1
北虏之先索国,1
千人捏,1
千辐轮殿,1
半汤湖,1
华不注泉,1
南巨川,1
南朝,1
卢县东,1
卢城之东,1
卫国县,1
印鱼,1
历城北,1
历城县光政寺,1
厌鼠法,1
取鹰法,1
口脂,1
古锅,1
古龟兹国,1
句曲山五芝,1
史论,1
史论作,1
号叫地狱,1
吐绶鸟,1
君王盐,1
吴公,1
吸筒,1
周官,1
和州刘录,1
咸阳宫中,1
善苑国,1
嗽金鸟,1
四种乐,1
国初,1
图藉,1
土槟榔,1
地日草,1
地钱,1
均州勋乡县,1
壁影,1
壁鱼,1
夏启,1
夜行,1
女娲,1
妒妇津,1
姜楚公常,1
威远军小,1
娑罗,1
婆弥烂国,1
婆那娑树,1
孔雀,1
孙思邈尝,1
孝亿国,1
宁王,1
安丰县,1
安息香树,1
安禄山,1
寄居,1
尝梦,1
山气多男,1
山萧,1
岢岚鸟,1
峡中俗,1
崔承宠,1
崔玄亮,1
左行草,1
师子,1
帝女子泽,1
干陀国头河,1
干陀国昔,1
平原县,1
平原郡,1
并序,1
庆云,1
庐山,1
庐江县,1
度古,1
庾信作诗,1
异字,1
异木,1
异果,1
异树,1
异菌,1
异蒿,1
异虫,1
异蜂,1
异鱼,1
异鸟,1
张芬,1
张芬曾,1
张魏公,1
律,1
息土人美,1
慈恩,1
慈恩寺,1
慈竹,1
成式三,1
成式以,1
成式门,1
或,1
手板,1
扬州,1
扶桑,1
承受石,1
折粟米法,1
护门草,1
拔汗那,1
拥剑,1
拨拔力国,1
挟剑豆,1
掌中芥,1
数丸,1
方诸山,1
