specific_subject,appearance_count
马,77
鱼,66
龙,60
僧,53
酒,49
寺,46
虫,45
李,39
观,39
仙,33
鬼,31
竹,29
药,29
蛇,29
佛,28
宫,28
术,28
殿,28
梦,27
盘,26
精,23
虎,23
波斯,22
龟,21
桃,20
鼓,19
兔,18
尸,18
镜,17
狐,14
芝,14
剑,13
钟,13
汤,12
雕,12
弓,11
楼,11
猪,11
道士,11
兆,10
凤,10
柳,10
桑,10
鞭,10
魅,10
箭,9
虾蟆,9
元和,8
昆仑,8
河伯,8
鹤,8
地狱,7
塔,7
槐,7
荆州,7
冥,6
大历,6
妖,6
玄宗,6
琴,6
瑞,6
苑,6
葬,6
猿,5
墓,4
未判定,4
桂,4
法师,4
琵琶,4
臛,4
贞元,4
麒麟,4
元和中,3
元和末,3
大历中,3
宝历,3
宝历中,3
开成,3
槟榔,3
瓶,3
真人,3
蜀,3
蜗,3
《汉书》,2
交趾,2
南中,2
历城县,2
坟,2
大历八年,2
太和,2
婚礼,2
屏风,2
建中,2
开成末,2
木兰,2
梵僧,2
泉,2
白唐,2
睿宗,2
石人,2
芰,2
西王母,2
长白山,2
鹘,2
龙脑,2
{{一作白}}鸟飞,1
○木篇,1
○毛篇,1
○羽篇,1
○草篇,1
○虫篇,1
《仙经》,1
《南康记》云,1
《博雅》,1
《天宝实录》云,1
《太真科经》说,1
《尚书大传》,1
《嵩山记》称嵩高等中,1
《王子年拾遗》,1
《白泽图》谓之苍鸆,1
《皇览》,1
《竹谱》,1
《释老志》亦,1
《隐诀》,1
ㄡ热地狱,1
䭱齐,1
䲻,1
一行公本不解弈,1
三白草,1
三蔬,1
东平,1
东平未用兵,1
东方之人鼻大,1
东王公讳倪,1
东道白,1
中宗景龙中,1
临川郡,1
临川郡南城县令戴察,1
临邑县,1
乌仗那国,1
乌山下无水,1
乌耗西,1
乌蓬,1
乌贼,1
乌鸣地上无好声,1
二十八宿,1
二目不同,1
于ν,1
于襄阳ν,1
云安井,1
五味、三材、九沸、九变、,1
五木,1
五藏、九宫、十二室、四支,1
井,1
井鱼,1
交趾近,1
京宣平坊,1
京西持国寺,1
人以猿臂骨,1
人参处处,1
人木,1
人死形如,1
人腊,1
人足,1
今妇人面饰用花子,1
今衣冠家名食,1
仍建国,1
仙人条,1
仙人枣,1
仙树,1
仙桃,1
仙药,1
代都赤者,1
伊尹干汤,1
伍相奴,1
伏苓,1
众,1
何胤侈于味,1
侯君集与承干谋通逆,1
侯骚,1
俗讳五月上屋,1
信都民苏氏,1
偏桃,1
僧一行博览无不知,1
僧一行穷数,1
僧万回年二十馀,1
僧无可,1
元稹在江夏襄州买堑,1
兔丝子,1
兜兜鸟,1
八寒地狱,1
兴唐寺,1
冬瓜,1
冯坦者,1
冷蛇,1
凌霄,1
凌霄花中露水,1
凡夜条不过五条数者短命,1
凡禽兽,1
凡网损、摆伤、兔蹋伤、鹤,1
凡节,1
凡鸷击等,1
凡鸷鸟,1
凡鸷鸟飞尤忌错,1
刘元鼎,1
刘积中,1
则天,1
北天健驮罗国,1
北斗魁,1
北斗魁第一星神名执（一,1
北朝妇人,1
北朝婚礼,1
北朝时,1
北虏之先索国,1
北齐迎南使,1
千人捏,1
千辐轮殿,1
半汤湖,1
华不注泉,1
