volume_index,volume_title,source,paragraph_id,duplicate_broad_categories,duplicate_specific_subjects,text
1,卷一·忠志,卷一·忠志-1,V01-P001,人物政事 | 器物技艺 | 神怪妖魅,箭 | 高祖 | 龙,钦定四库全书|酉阳杂俎卷一唐段成式撰|忠志|高祖少神勇。隋末，尝以十二人破草贼号无端儿数万。又龙门战，尽一房箭，中八十人。
1,卷一·忠志,卷一·忠志-13,V01-P013,人物政事 | 梦兆占验,尝梦 | 梦,上尝梦曰{{一作白}}鸟飞，蝙蝠数十逐而堕地。惊觉，召万回僧曰：「大家即是上天时。」翌日而崩。
1,卷一·忠志,卷一·忠志-14,V01-P014,人物政事 | 动物 | 器物技艺 | 神怪妖魅,盘 | 睿宗 | 虫 | 蜗 | 雕 | 鞭 | 龙,睿宗尝阅内库，见一鞭，金色，长四尺，数节有虫啮处，状如盘龙，靶上悬牙牌，题象耳皮，或言隋宫库旧物也。上为冀王时，寝斋壁上蜗迹成「天」字，上惧，遽扫之。经数日如初。及即位，雕玉铸黄金为蜗形，分置于释道像前。
1,卷一·忠志,卷一·忠志-15,V01-P015,人物政事 | 动物 | 建筑寺塔,宫 | 玄宗 | 虫,玄宗，禁中尝称阿瞒，亦称鸦。寿安公主，曹野那姬所生也。以其九月而诞，遂不出降。常令衣道服，主香火。小字虫娘，上呼为师娘。为太上皇时，代宗起居，上曰：「汝在东宫，甚有令名。」因指寿安，「虫娘为鸦女，汝后与一名号。」及代宗在灵武，遂令苏澄尚之，封寿安焉。
1,卷一·忠志,卷一·忠志-16,V01-P016,人物政事 | 建筑寺塔 | 异域物产 | 梦兆占验 | 神怪妖魅,交趾 | 宫 | 波斯 | 琵琶 | 瑞 | 观 | 龙 | 龙脑,天宝末，交趾贡龙脑，如蝉蚕形。波斯言老龙脑树节方有，禁中呼为瑞龙脑。上唯赐贵妃十枚，香气彻十馀步。上夏日尝与亲王棋，令贺怀智独弹琵琶，贵妃立于局前观之。上数子将输，贵妃放康国猧子于坐侧，猧子乃上局，局子乱，上大悦。时风吹贵妃领巾于贺怀智巾上，良久，回身方落。贺怀智归，觉满身香气非常，乃卸幞头贮于锦囊中。及二皇复宫阙，追思贵妃不已，怀智乃进所贮幞头，具奏它日事。上皇发囊，泣曰：「此瑞龙脑香也。」
1,卷一·忠志,卷一·忠志-17,V01-P017,人物政事 | 动物 | 器物技艺 | 异人方术 | 异域物产 | 植物 | 神怪妖魅 | 饮食医药,安禄山 | 屏风 | 术 | 桑 | 汤 | 猪 | 瓶 | 盘 | 药 | 酒 | 马 | 鱼 | 龙,安禄山恩宠莫比，锡赍无数。其所赐品目有：桑落酒、阔尾羊窟利、马酪、音声人两部、野猪鲜、鲫鱼并手刀子、清酒、大锦、苏造真符宝舆、馀甘煎、辽泽野鸡、五术汤、金石凌汤一剂及药童昔贤子就宅煎、蒸梨、金平脱犀头匙箸、金银平脱隔馄饨盘、金花狮子瓶、平脱著足叠子、熟线绫接靴、金大脑盘、银平脱破觚、八角花乌屏风、银凿镂铁锁、帖白{{一曰花}}檀香床、绿白平细背席、绣鹅毛毡兼令瑶令光就宅张设、金鸾紫罗绯罗立马宝、鸡袍、龙须夹帖、八斗金渡银酒瓮银瓶平脱掏魁织锦筐、银笊篱、银平脱食台盘、油画食藏，又贵妃赐禄山金平脱装具玉合、金平脱铁面碗。
1,卷一·忠志,卷一·忠志-18,V01-P018,丧葬冥界 | 人物政事 | 植物,冥 | 坟 | 女娲 | 柳 | 肃宗将,肃宗将至灵武一驿，黄昏，有妇人长大，携双鲤吒于营门曰：「皇帝何在？」众谓风狂，遽白上潜视举止。妇人言已，止大树下。军人有逼视，见其臂上有鳞。俄天黑，失所在。及上即位，归京阙，虢州刺史王奇光奏女娲坟云：「天宝十三载，大雨，晦冥忽沉。今月一日夜，河上有人觉风雷声，晓见其坟涌出，上生双柳树，高丈馀，下有巨石。」兼画图进。上初克复，使祝史就其所祭之。至是而见，众疑向妇人其神也。
1,卷一·忠志,卷一·忠志-19,V01-P019,人物政事 | 动物 | 植物 | 神怪妖魅,妖 | 庆云 | 桑 | 西王母 | 雕,代宗即位日，庆云见，黄气抱日。初，楚州献定国宝一十二，乃诏上监国。诏曰：「上天降宝，献自楚州。神明生历数之符，合璧定妖灾之气。」初，楚州有尼真如，忽有人接去天上。天帝言下方有灾，令此宝镇之，其数十二。楚州刺史崔人先表献焉。一曰玄黄，形如笏，长八寸，有孔。辟人间兵疫。二曰玉鸡，毛白玉也。王者以孝理天下则见。三曰谷璧，白玉也。如粟粒，无雕镌之迹。王者得之，五谷丰熟。四曰西王母白环，二枚。所在处，外国归服。五曰{{阙名}}。六曰如意宝珠，大如鸡卵。七曰红靺鞨，大如巨栗。八曰琅玕珠，二枚，逾常珠，有逾径一寸三分。九曰玉块，形如玉环，四分缺一。十曰玉印，大如半手，理如鹿形，啗入印中。十一曰皇后采桑钩，细如箸，屈其末。十二曰雷公石，斧形，无孔。诸宝置之日中，皆白气连天。
1,卷一·忠志,卷一·忠志-2,V01-P002,动物 | 器物技艺 | 建筑寺塔,宫 | 弓 | 箭 | 观 | 鱼,太宗虬须，尝戏张弓挂矢。好用四羽大笴，长常箭一肤，射洞门阖。上尝观渔于西宫，见鱼跃焉。问其故，渔者曰：「此当乳也。」于是中网而止。
1,卷一·忠志,卷一·忠志-3,V01-P003,动物 | 器物技艺 | 异域物产,猿 | 鞭 | 马 | 骨利干国,骨利干国献马百疋，十疋尤骏。上为制名决波输者，近后足有距，走历门三限不踬，上尤惜之。隋内库有交臂玉猿，二臂相贯如连环。将表其辔。上后尝骑与侍臣游，恶其饰，以鞭击碎之{{一曰文皇御制十骏名}}。
