broad_category,level1_subject,level2_subject,specific_subject,volume_index,volume_title,source,paragraph_id,primary_subject,keywords,text
动物,动物,兽类,兽类,0,序,三校,S00-P001,兽类,虎、象,夫《易·象》「一车」之言，近于怪也；《诗》人「南淇之奥」，近乎戏也。固服缝掖者肆笔之余，及怪及戏，无侵于儒。无若《诗》、《书》之味大羹，史为折俎，子为醯醢也。炙……
饮食医药,饮食医药,食物饮品,食物饮品,0,序,三校,S00-P001,食物饮品,食、羹,夫《易·象》「一车」之言，近于怪也；《诗》人「南淇之奥」，近乎戏也。固服缝掖者肆笔之余，及怪及戏，无侵于儒。无若《诗》、《书》之味大羹，史为折俎，子为醯醢也。炙……
人物政事,人物政事,帝王,帝王,1,卷一·忠志,三校,V01-P002,帝王,上、太宗,太宗虬须，尝戏张弓挂矢。好用四羽大笴，长常箭一肤，射洞门阖。上尝观渔于西宫，见鱼跃焉。问其故，渔者曰：「此当乳也。」于是中网而止。
建筑寺塔,建筑寺塔,宫殿城楼,宫殿城楼,1,卷一·忠志,三校,V01-P002,宫殿城楼,宫、门,太宗虬须，尝戏张弓挂矢。好用四羽大笴，长常箭一肤，射洞门阖。上尝观渔于西宫，见鱼跃焉。问其故，渔者曰：「此当乳也。」于是中网而止。
器物技艺,器物技艺,武器,武器,1,卷一·忠志,三校,V01-P002,武器,弓、箭,太宗虬须，尝戏张弓挂矢。好用四羽大笴，长常箭一肤，射洞门阖。上尝观渔于西宫，见鱼跃焉。问其故，渔者曰：「此当乳也。」于是中网而止。
动物,动物,兽类,兽类,1,卷一·忠志,三校,V01-P003,兽类,马、猿,骨利干国献马百疋，十疋尤骏。上为制名决波输者，近后足有距，走历门三限不踬，上尤惜之。隋内库有交臂玉猿，二臂相贯如连环。将表其辔。上后尝骑与侍臣游，恶其饰，以鞭击……
人物政事,人物政事,帝王,帝王,1,卷一·忠志,三校,V01-P004,帝王,帝、上,贞观中，忽有白鹊构巢于寝殿前槐树上。其巢合欢如腰鼓，左右拜舞称贺。上曰：「我尝笑隋炀帝好祥瑞。瑞在得贤，此何足贺？」乃命毁其巢，鹊放于野外。
梦兆占卜,梦兆占卜,祥瑞灾异,祥瑞灾异,1,卷一·忠志,三校,V01-P004,祥瑞灾异,瑞、祥、祥瑞,贞观中，忽有白鹊构巢于寝殿前槐树上。其巢合欢如腰鼓，左右拜舞称贺。上曰：「我尝笑隋炀帝好祥瑞。瑞在得贤，此何足贺？」乃命毁其巢，鹊放于野外。
人物政事,人物政事,帝王,帝王,1,卷一·忠志,三校,V01-P005,帝王,敕、太宗、高宗,高宗初扶床，将戏弄笔。左右试置纸于前，乃乱画满纸。角边画处成草书「敕」字，太宗遽令焚之，不许传外。
人物政事,人物政事,帝王,帝王,1,卷一·忠志,三校,V01-P006,帝王,则天,则天初诞之夕，雌雉皆雊。右手中指有黑毫，左旋如黑子，引之，长尺余。
