volume_index,volume_title,source,paragraph_id,duplicate_broad_categories,duplicate_specific_subjects,text
0,序,三校,S00-P001,动物、饮食医药,兽类、食物饮品,夫《易·象》「一车」之言，近于怪也；《诗》人「南淇之奥」，近乎戏也。固服缝掖者肆笔之余，及怪及戏，无侵于儒。无若《诗》、《书》之味大羹，史为折俎，子为醯醢也。炙……
1,卷一·忠志,三校,V01-P002,人物政事、建筑寺塔、器物技艺,帝王、宫殿城楼、武器,太宗虬须，尝戏张弓挂矢。好用四羽大笴，长常箭一肤，射洞门阖。上尝观渔于西宫，见鱼跃焉。问其故，渔者曰：「此当乳也。」于是中网而止。
1,卷一·忠志,三校,V01-P004,人物政事、梦兆占卜,帝王、祥瑞灾异,贞观中，忽有白鹊构巢于寝殿前槐树上。其巢合欢如腰鼓，左右拜舞称贺。上曰：「我尝笑隋炀帝好祥瑞。瑞在得贤，此何足贺？」乃命毁其巢，鹊放于野外。
1,卷一·忠志,三校,V01-P008,人物政事、动物、器物技艺,帝王、将相臣子、鸟类、兽类、用具杂器,中宗景龙中，召学士赐猎，作吐陪行，前方后圆也。有二人雕，上仰望之。有放挫啼曰：「臣能取之。」乃悬死鼠于鸢足，联其目，放而钓焉。二雕果击于鸢盘。狡兔起前，上举挝击……
1,卷一·忠志,三校,V01-P014,人物政事、器物技艺、佛道宗教,帝王、用具杂器、佛法,睿宗尝阅内库，见一鞭，金色，长四尺，数节有虫啮处，状如盘龙，靶上悬牙牌，题象耳皮，或言隋宫库旧物也。上为冀王时，寝斋壁上蜗迹成「天」字，上惧，遽扫之。经数日如初……
1,卷一·忠志,三校,V01-P016,动物、建筑寺塔、天文地理,昆虫、宫殿城楼、天象,天宝末，交趾贡龙脑，如蝉蚕形。波斯言老龙脑树节方有，禁中呼为瑞龙脑。上唯赐贵妃十枚，香气彻十余步。上夏日尝与亲王棋，令贺怀智独弹琵琶，贵妃立于局前观之。上数子将……
1,卷一·忠志,三校,V01-P017,动物、植物、器物技艺、饮食医药、天文地理,鸟类、兽类、鱼类、树木、花草、药草、用具杂器、衣饰、食物饮品、医术药理、地理山水,安禄山恩宠莫比，锡赍无数。其所赐品目有：桑落酒、阔尾羊窟利、马酪、音声人两部、野猪鲜、鲫鱼并鲙手刀子、清酒、大锦、苏造真符宝舆、余甘煎、辽泽野鸡、五术汤、金石凌……
1,卷一·忠志,三校,V01-P018,人物政事、植物、建筑寺塔、丧葬冥界、天文地理、超自然力量,帝王、树木、宫殿城楼、丧葬、天象、灵异物件,肃宗将至灵武驿，黄昏，有妇人长大，携双鲤咤于营门曰：「皇帝何在？」众谓风狂，遽白上潜视举止。妇人言已，止大树下。军人有逼视，见其臂上有鳞。俄天黑，失所在。及上即……
1,卷一·忠志,三校,V01-P019,人物政事、鬼怪妖魅、天文地理,帝王、将相臣子、仙神、天象,代宗即位日，庆云见，黄气抱日。初，楚州献定国宝十二，乃诏上监国。诏曰：「上天降宝，献自楚州。神明生历数之符，合璧定妖灾之气。」初，楚州有尼真如，忽有人接去天上。……
2,卷一·礼异,三校,V02-P022,建筑寺塔、佛道宗教、梦兆占卜,宫殿城楼、道法、祥瑞灾异,凡节，守国用玉节，守都鄙用角节，使山邦用虎节，土邦用人节，泽邦用龙节，门关用符节，货贿用玺节，道路用旌节。古者安平用璧，与事用圭，成功用璋，边戎用珩，战斗用璩，……
